date,year_month,year,month,upi_volume_lakh,upi_value_crore,upi_volume,upi_value_rupees,festival_month,post_2022,log_volume,log_value,growth_volume,growth_value,source
2020-06-01,2020-06,2020,6,13369.33,261835.51,1336933000.0,2618355100000.0,0,0,21.013644021619086,28.59356741210979,,,
2020-07-01,2020-07,2020,7,14973.539999999999,290537.86,1497354000.0,2905378600000.0,0,0,21.126965387374476,28.69758482476297,11.99918021321935,10.961977617168884,
2020-08-01,2020-08,2020,8,16188.27,298307.62,1618827000.0,2983076200000.0,0,0,21.20496764984839,28.7239761658885,8.112510468466393,2.674267649661899,
2020-09-01,2020-09,2020,9,18001.67,329031.84,1800166999.9999998,3290318400000.0005,0,0,21.311145275322716,28.82200545413863,11.201938193519112,10.299508943150704,
2020-10-01,2020-10,2020,10,20716.19,386106.74,2071618999.9999998,3861067400000.0,1,0,21.45159626412671,28.98196478967574,15.07926764572398,17.34631517727887,
2020-11-01,2020-11,2020,11,22102.29,390999.17,2210229000.0,3909991700000.0,1,0,21.516361967017403,28.994556367161422,6.690902139823995,1.2671185175374022,
2020-12-01,2020-12,2020,12,22341.58,416176.23,2234158000.0,4161762300000.0,1,0,21.527130260249184,29.05695973030364,1.0826479971079994,6.439159448855092,
2021-01-01,2021-01,2021,1,23027.28,431181.9,2302728000.0,4311819000000.0,0,0,21.557360343992606,29.092380972772972,3.0691652067579733,3.605604769883186,
2021-02-01,2021-02,2021,2,22928.94,425062.76,2292894000.0,4250627600000.0,0,0,21.55308061210428,29.078087758550883,-0.4270586886510275,-1.4191551175965489,
2021-03-01,2021-03,2021,3,27316.85,504886.45,2731685000.0,5048864500000.0,0,0,21.72818447186097,29.250184482447782,19.13699455796909,18.779271559804478,
2021-04-01,2021-04,2021,4,26410.61,493663.68,2641061000.0,4936636800000.0,0,0,21.694446567306294,29.227705405555607,-3.317512817180601,-2.222830499808426,
2021-05-01,2021-05,2021,5,25291.82,489105.61,2529182000.0,4891056100000.0,0,0,21.651161767248507,29.218429367467014,-4.236138430729164,-0.9233148365300092,
2021-06-01,2021-06,2021,6,28075.16,547373.16,2807516000.0,5473731600000.0,0,0,21.755565943581114,29.33098169355831,11.004901980165926,11.913081512191216,
2021-07-01,2021-07,2021,7,32455.02,605883.2,3245502000.0,6058832000000.0,0,0,21.900535874675477,29.432538158159243,15.600480994587397,10.689241686603701,
2021-08-01,2021-08,2021,8,35555.45,639116.95,3555544999.9999995,6391169500000.0,0,0,21.991774193655512,29.4859383879161,9.553005975654916,5.485174370241652,
2021-09-01,2021-09,2021,9,36558.17,654648.28,3655817000.0,6546482800000.0,0,0,22.01958543458094,29.509949044252636,2.8201583723451717,2.430123313111965,
2021-10-01,2021-10,2021,10,42184.32,771406.99,4218432000.0,7714069900000.0,1,0,22.16272933196629,29.67406703712025,15.389583231326952,17.8353344180481,
2021-11-01,2021-11,2021,11,41864.8,768436.09,4186480000.0000005,7684360900000.0,1,0,22.15512612233711,29.670208327457054,-0.7574378347215194,-0.38512744096342866,
2021-12-01,2021-12,2021,12,45662.99,826848.23,4566299000.0,8268482300000.0,1,0,22.241968866922296,29.74347208938008,9.072514379622,7.601431109254642,
2022-01-01,2022-01,2022,1,46171.56,831993.09,4617156000.0,8319930900000.0,0,1,22.253044768074595,29.749675065438716,1.1137466031024168,0.6222254354949719,
2022-02-01,2022-02,2022,2,45274.89,826843.02,4527489000.0,8268430200000.0,0,1,22.233433318121982,29.74346578832479,-1.9420396451841793,-0.6190039390831847,
2022-03-01,2022-03,2022,3,54056.51,960581.67,5405651000.0,9605816700000.0,0,1,22.410710724818085,29.89338993716526,19.396226031692176,16.17461195959542,
2022-04-01,2022-04,2022,4,55843.88,983573.45,5584388000.0,9835734500000.0,0,1,22.443240684233253,29.917043247238233,3.3064842698872,2.3935268304672075,
2022-05-01,2022-05,2022,5,59462.89,1040220.53,5946289000.0,10402205300000.0,0,1,22.506033164444776,29.973038947673782,6.480584801772382,5.759313653698173,
2022-06-01,2022-06,2022,6,58629.08,1014412.62,5862908000.0,10144126200000.0,0,1,22.491911563179926,29.947915954397768,-1.4022359155432818,-2.4810037156255738,
2022-07-01,2022-07,2022,7,62893.4,1063117.04,6289340000.0,10631170400000.0,0,1,22.562121973695515,29.994811405702176,7.273387199662684,4.801243501879937,
2022-08-01,2022-08,2022,8,65819.06,1073162.17,6581906000.0,10731621700000.0,0,1,22.607590205992135,30.004215798150177,4.651775862014129,0.9448752698009599,
2022-09-01,2022-09,2022,9,67807.99,1116438.09,6780799000.000001,11164380900000.0,0,1,22.637360778563018,30.043749549616084,3.0218146536884705,4.032561080679931,
2022-10-01,2022-10,2022,10,73054.21,1211587.5,7305421000.000001,12115875000000.0,1,1,22.7118825122475,30.125537692104036,7.736875846047053,8.522587222010669,
2022-11-01,2022-11,2022,11,73094.47,1190593.39,7309447000.0,11905933899999.998,1,1,22.712433458051706,30.108058038821724,0.05510976027254255,-1.7327770383897212,
2022-12-01,2022-12,2022,12,78288.95,1281970.86,7828895000.0,12819708600000.002,1,1,22.781087213107707,30.182004837053537,7.106529399556494,7.674951899405413,
2023-01-01,2023-01,2023,1,80385.88,1299058.78,8038588000.0,12990587800000.0,0,1,22.80751928282341,30.195246195779752,2.678449512990033,1.3329413743460528,
2023-02-01,2023-02,2023,2,75347.56999999999,1235846.58,7534756999.999999,12358465800000.0,0,1,22.74279241900252,30.145362434040205,-6.267655463870037,-4.865999981925373,
2023-03-01,2023-03,2023,3,86516.34,1404950.59,8651634000.0,14049505900000.0,0,1,22.881014041784617,30.273608343830134,14.822999600385266,13.68325265746173,
2023-04-01,2023-04,2023,4,88632.6,1415504.71,8863260000.0,14155047100000.0,0,1,22.905180479711863,30.28109236193301,2.4460812836049284,0.7512093361233374,
2023-05-01,2023-05,2023,5,94151.85,1489145.45,9415185000.0,14891454500000.0,0,1,22.965589648357962,30.331808640862523,6.227110566540972,5.202436945617794,
2023-06-01,2023-06,2023,6,93350.64,1475464.25,9335064000.0,14754642500000.0,0,1,22.95704346983518,30.322578894955033,-0.8509763748667742,-0.9187282545167097,
2023-07-01,2023-07,2023,7,99642.56,1533536.46,9964256000.0,15335364600000.0,0,1,23.022270126509273,30.361182688888682,6.740093051317064,3.9358601877341304,
2023-08-01,2023-08,2023,8,105860.16,1576536.54,10586016000.0,15765365400000.0,0,1,23.082799721811256,30.38883658658275,6.239903912545008,2.803981589065052,
2023-09-01,2023-09,2023,9,105556.87,1579133.18,10555687000.0,15791331800000.0,0,1,23.07993060376478,30.39048228516115,-0.28650060608259587,0.1647053483454286,
2023-10-01,2023-10,2023,10,114087.9,1715768.34,11408790000.0,17157683400000.0,1,1,23.157649947870073,30.473467200875046,8.081927779783538,8.652541896434606,
2023-11-01,2023-11,2023,11,112352.92,1739740.6099999999,11235292000.0,17397406099999.998,1,1,23.14232573245513,30.48734223632365,-1.5207397103461417,1.3971740497321417,
2023-12-01,2023-12,2023,12,120202.26,1822949.45,12020226000.0,18229494500000.0,1,1,23.20985656787339,30.534061975216563,6.986324877003636,4.7828302404230305,
2024-01-01,2024-01,2024,1,122030.18,1841083.97,12203018000.0,18410839700000.0,0,1,23.224949135142147,30.543960721214315,1.5207035208822273,0.9947900639811991,
2024-02-01,2024-02,2024,2,121026.73,1827869.35,12102673000.0,18278693500000.0,0,1,23.216692174243196,30.53675720784673,-0.8222965826978235,-0.7177630252247491,
2024-03-01,2024-03,2024,3,134400.04,1978353.23,13440004000.0,19783532300000.0,0,1,23.32150146966042,30.61587100555282,11.049881294818098,8.232748144718327,
2024-04-01,2024-04,2024,4,133039.94,1964464.52,13303994000.0,19644645200000.0,0,1,23.31133012784475,30.608825908200668,-1.011978865482488,-0.7020338829987427,
2024-05-01,2024-05,2024,5,140358.43,2044937.05,14035843000.0,20449370500000.0,0,1,23.36488010908188,30.648973215547482,5.500972114088443,4.096410455913957,
2024-06-01,2024-06,2024,6,138851.42,2007081.2,13885142000.000002,20070812000000.0,0,1,23.354085184516403,30.630287736313992,-1.0736868458844806,-1.8511987936254637,
2024-07-01,2024-07,2024,7,144355.54,2064292.41,14435554000.0,20642924100000.0,0,1,23.392960028264934,30.658393718019077,3.964035801722443,2.8504681325299597,
2024-08-01,2024-08,2024,8,149630.47,2060735.57,14963047000.0,20607355700000.0,0,1,23.428849465224094,30.65666920080429,3.6541237004135807,-0.17230310893793233,
2024-09-01,2024-09,2024,9,150417.47,2063994.71,15041747000.0,20639947100000.0,0,1,23.434095305637307,30.65824949355413,0.5259623925528034,0.15815420704363703,
2024-10-01,2024-10,2024,10,165849.66,2349821.46,16584966000.0,23498214600000.0,1,1,23.531762459298104,30.78794555972437,10.259572907322534,13.848230744738688,
2024-11-01,2024-11,2024,11,154820.21,2155187.41,15482021000.0,21551874100000.0,1,1,23.462945252141914,30.701483893894267,-6.65026988900671,-8.282929291147079,
2024-12-01,2024-12,2024,12,167300.09,2324699.94,16730009000.0,23246999400000.0,1,1,23.540469889900766,30.777197181568688,8.06088559109952,7.865326663169392,
2025-01-01,2025-01,2025,1,169960.01,2348037.11,16996001000.0,23480371100000.0,0,1,23.556243918036348,30.787185915703922,1.5899094854043394,1.0038788059675285,
2025-02-01,2025-02,2025,2,161061.93,2196481.7,16106193000.0,21964817000000.0,0,1,23.502469693359853,30.72046306188521,-5.2353962558604366,-6.4545576964922695,
2025-03-01,2025-03,2025,3,183015.08,2477221.59,18301508000.0,24772215900000.0,0,1,23.630249297770316,30.84074381445161,13.630253902955225,12.781344365400349,
2025-04-01,2025-04,2025,4,178934.24,2394925.87,17893424000.0,23949258700000.0,0,1,23.607699107992975,30.80695848732315,-2.229783469209201,-3.3220976408493086,
2025-05-01,2025-05,2025,5,186774.6,2514297.0100000002,18677460000.0,25142970100000.004,0,1,23.650583286197694,30.85559945451493,4.381699109125248,4.984335485924674,
2025-07-01,2025-07,2025,7,194679.48,2508498.1,19467948000.0,25084981000000.0,0,1,23.692035257864124,30.853290416439723,4.232309960776259,-0.2306374297442404,
2025-08-01,2025-08,2025,8,200083.1,2485473.0,20008310000.0,24854730000000.0,0,1,23.71941352420418,30.84406919241075,2.77564949320801,-0.9178838923577404,RBI official monthly archive
2025-09-01,2025-09,2025,9,196334.33,2489737.0,19633433000.0,24897370000000.0,0,1,23.700499715323637,30.845783291330804,-1.8736065164924098,0.1715568827342029,RBI official monthly archive
2025-10-01,2025-10,2025,10,207009.21,2727791.0,20700921000.0,27277910000000.0,1,1,23.753444028981583,30.937098333065666,5.437092942431421,9.56141150651655,RBI official monthly archive
2025-11-01,2025-11,2025,11,204669.79,2631633.0,20466979000.0,26316330000000.0,1,1,23.742078643901277,30.901210774973357,-1.1301043079194328,-3.5251234423751665,RBI official monthly archive
2025-12-01,2025-12,2025,12,216346.68,2796713.0,21634668000.0,27967130000000.0,1,1,23.797562865000547,30.962051007938435,5.705233781692942,6.272911154404892,RBI official monthly archive
